,preprocessed_Tokens,Scores
1028,ref3a,-734
1029,ref3a,-460
1030,ref3a,-400
1031,ref3a,-140
1032,ref3a,-1934
1033,ref3a,0
1034,ref3a,1669
1035,ref3a,-300
1036,ref3a,-60
1037,ref3a,-20
1038,ref3a,-291
1039,ref3a,-1712
1040,ref3a,-100
1041,ref3a,-60
1042,ref3a,-2088
1043,ref3a,100
1044,ref3a,60
1045,ref3a,-60
1046,ref3a,-300
1047,ref3a,-300
1048,ref3a,-1532
1049,ref3b2,1669
1050,ref3b4,1669
1051,ref5,140
1052,ref5ci,1669
1053,ref5e,1669
1054,reference,-1934
1055,reo,-300
1056,reo,-300
1057,repeat,0
1058,res,-140
1059,res,-140
1060,researchers,-400
1061,rf,-220
1062,rim,-291
1063,;,-291
1064,rim,-291
1065,rio,1669
1066,rio,-2068
1067,ris,-220
1068,ris,-460
1069,rolls,-2088
1070,rolls-,-220
1071,rolls-royce,-420
1072,routing,-340
1073,royal,-220
1074,royal,-20
1075,rtaps,-400
1076,ru,-500
1077,running,-1532
1078,sam,-460
1079,san,-734
1080,:,-3266
1081,saunders,-100
1082,sc,-2068
1083,scalar,-1934
1084,science,-100
1085,scientific,-1934
1086,scottish,-1934
1087,scu,-300
1088,sds,-60
1089,seac,100
1090,sealab,-60
1091,section,40
1092,see,140
1093,see,-340
1094,see,40
1095,see,-20
1096,see,-291
1097,seic,140
1098,sems,-300
1099,sensing,40
1100,sensors,-44
1101,sepnet,-460
1102,set,-400
1103,several,-20
1104,sharkey,-244
1105,shen,-3132
1106,shura,1669
1107,siemens,-220
1108,sisaf,0
1109,sisp,40
1110,six,-291
1111,six,-100
1112,slcse,-460
1113,sloan,40
1114,smart,-400
1115,smith,40
1116,smith,-1712
1117,smmi,-460
1118,:,-500
1119,soe,-500
1120,solar,-300
1121,solar,-300
1122,soleimani,-220
1123,some,-268
1124,song,40
1125,sophielaurenson,-340
1126,sosa,-1712
1127,south,-20
1128,spanning,-20
1129,spencer,-3132
1130,sphinx,-500
1131,sps,-300
1132,sse,-400
1133,staff,-100
1134,stand,40
1135,baacom,-340
1136,steve,100
1137,strategy,-44
1138,zoodigitalcom,-220
1139,su2p,-400
1140,such,140
1141,such,-44
1142,supported,-44
1143,sweden,-60
1144,sx,-420
1145,systems,-100
1146,t,-1712
1147,taylor,-300
1148,taylor,-300
1149,taylor,-3132
1150,tdhvl,-460
1151,tdhvl,-460
1152,technical,-1712
1153,technology,-60
1154,temi,-291
1155,terzija,40
1156,text,-60
1157,tfp,-60
1158,the,-220
1159,the,140
1160,the,40
1161,the,-268
1162,the,-460
1163,the,-100
1164,the,100
1165,the,-60
1166,the,-1532
1167,the,-400
1168,then,-244
1169,;,-291
1170,thermal,-220
1171,they,-268
1172,alcatel-lucentcom,-340
1173,three,-100
1174,through,-2068
1175,through,-220
1176,through,-340
1177,through,-734
1178,thz,-340
1179,ti,-500
1180,tic,-400
1181,tic,-400
1182,manairportcouk,-340
1183,titirici,-300
1184,to,-100
1185,todd,-734
1186,top,-300
1187,top,-300
1188,total,-100
1189,total,-300
1190,;,60
1191,;,60
1192,tree,-60
1193,trl,-420
1194,trl/mcrl,-420
1195,trl7-9,-420
1196,trls,-420
1197,ts/k004476/1,-340
1198,tsb,-460
1199,tsb,-100
1200,tsb,-268
1201,tsb,-220
1202,:,-400
1203,tv,-2088
1204,twi,-3132
1205,two,-3132
1206,typically,-460
1207,typically,-60
1208,ucam,140
1209,ucl13-bay,-1932
1210,ucl13-bre,-1932
1211,ucl13-jac,-1932
1212,ucl13-sch,-1932
1213,ucl13-see,-1932
1214,uclan,140
1215,uclb,-1932
1216,udrc,100
1217,ugpn,-140
1218,uk,140
1219,uk,-60
1220,uk,-100
1221,uk,-20
1222,uk,-500
1223,uk,-340
1224,uk,-20
1225,uk,-500
1226,umi3,40
1227,umi3,40
1228,umip,-100
1229,umip,40
1230,umip,40
1231,under,-400
1232,universities,140
1233,university,-460
1234,uoa,-420
1235,uoa,-500
1236,uoa,-60
1237,uoa3,-400
1238,upel,-44
1239,usa,-340
1240,usa,-500
1241,usa,40
1242,using,-500
1243,usrgs,-460
1244,utc,140
1245,utc,140
1246,utc,-100
1247,v,140
1248,v,-400
1249,v,0
1250,v,-291
1251,v,-2088
1252,van,-3132
1253,vardaxoglou,-1712
1254,vardaxoglou,-1712
1255,vardaxoglou,-1712
1256,vardaxoglou,-1712
1257,vc,-300
1258,verde,140
1259,veterinary,-244
1260,vi,140
1261,vi,-400
1262,vi,-2088
1263,via,-340
1264,via,-244
1265,vii,140
1266,vii,-400
1267,vijayaraghavan,-100
1268,;,-291
1269,vit-c,-244
1270,vn-uk,-1532
1271,water,140
1272,we,-220
1273,welsh,60
1274,westminster,40
1275,wfbf,-220
1276,which,-244
1277,;,-1712
1278,who,-2068
1279,wilcock,-460
1280,williams,-460
1281,wilshaw,-268
1282,win,-300
1283,win,-300
1284,wind,-220
1285,wind,-420
1286,wind,-220
1287,with,-220
1288,with,-420
1289,with,-100
1290,with,40
1291,with,-268
1292,with,-3266
1293,with,-100
1294,with,60
1295,wmcrl,-500
1296,wo,-44
1297,wo/2012/,-300
1298,wo/2012/,-300
1299,wo2004/033724,-340
1300,wo2008/032066,-340
1301,woolley,-460
1302,world,-60
1303,worlds,140
1304,chu,140
1305,wt088908/z/09/z,-340
1306,wu,-3132
1307,wu,-3132
1308,wwwceed-scotlandcom,-1934
1309,wwwdigitalleedsacuk,-340
1310,wwwinterface-onlineorguk,-1934
1311,wwwleedsacuk/festivalofscience,-340
1312,wwwmedical-technologiescouk,-340
1313,wwwmetrccouk/homeaspx,-60
1314,wwwnclacuk/res/,-60
1315,wwwnewcastlesciencecentralcom/,-60
1316,wwwthinfilmcentrecouk,-1934
1317,;,-60
1318,wwwzeekocouk,60
1319,;,-100
1320,x2,-100
1321,;,-100
1322,x5,-100
1323,yes,-2068
1324,yes,-2068
1325,zi,-460
1326,orkshire,-340
1327,ep/e007198,-340
1328,2m,100
1329,02m,-220
1330,02m,-220
1331,03m,-220
1332,04m,-220
1333,05m,-220
1334,1,-268
1335,135m,-244
1336,15m,-734
1337,16m,0
1338,17m,-220
1339,183m,-244
1340,100k,140
1341,10k,-291
1342,10m,140
1343,115k,-220
1344,122m,-244
1345,130k,1669
1346,162m,-244
1347,172k,-1712
1348,18k,-220
1349,1m,-734
1350,221k,-20
1351,256m,140
1352,250k,1669
1353,260k,1669
1354,261k,-220
1355,317m,-244
1356,31m,-734
1357,35m,-140
1358,300k,-291
1359,300k,-1532
1360,31k,-340
1361,36k,-340
1362,36m,-420
1363,400k,-291
1364,428017,-340
1365,438k,-220
1366,467k,-1712
1367,49k,0
1368,4m,-734
1369,50k,-300
1370,50m,140
1371,53k,-291
1372,5m,-140
1373,5m,0
1374,62m,-140
1375,623k,-220
1376,623k,-220
1377,634k,-734
1378,63k,-220
1379,642k,-1712
1380,65k,-220
1381,6m,0
1382,72k,-1712
1383,7m,-3132
1388,/,-1320
1389,/,-8000
1390,/,0
1391,/,28373
1392,/,-60
1393,/,-766
1394,/a8,-300
1395,:,-60
1396,;,41725
1397,;,-3600
1398,;,-3600
1399,abbottcom,-340
1401,126913141620,140
1402,136,140
1403,13,140
1404,13,140
1405,;,140
1406,181416,140
1407,1,140
1408,10,140
1409,11,140
1410,12,140
1411,12,140
1412,;,140
1413,13,140
1414,14,140
1415,1,140
1416,15,140
1417,;,140
1418,16,140
1419,;,140
1420,17,140
1421,18,140
1422,18,140
1423,19,140
1424,;,140
1425,1,140
1426,2,140
1427,20,140
1428,21,140
1429,3,140
1430,3,140
1431,4,140
1432,4,140
1433,51012,140
1434,;,140
1435,5610121618,140
1436,5,140
1437,;,140
1438,61618,140
1439,;,140
1440,616,140
1441,;,140
1442,6,140
1443,7,140
1444,891415,140
1445,8,140
1446,116,140
1447,;,140
1448,9,140
1449,andonovic,-400
1450,ault,-400
1451,b1,100
1452,b1,100
1453,b1,100
1454,b1,100
1455,b2,100
1456,b2,100
1457,b3,100
1458,b3,100
1459,b5,100
1460,b6,100
1461,bell,-400
1462,burt,-400
1463,case,100
1464,enterprise,-1712
1465,ep/h50009x/1,-400
1466,ep/k503861/1,-400
1467,;,-400
1468,//wwwesoorg,60
1469,j,-400
1470,johnstone,-400
1471,leithead,-400
1472,macgregor,-400
1473,marshall,-400
1474,marshall,-400
1475,;,-400
1476,soraghan,-400
1477,soraghan,-400
1478,stewart,-400
1479,text,140
1480,text,-734
1481,us,60
1483,~,-1600
1484,%,1669
1485,~100,140
1486,~100,1669
1487,~150,1669
1488,;,-460
1489,~40,-60
1490,~50,140
1491,~50,1669
1492,~60,-460
1493,05,-1932
1494,10million,-460
1495,2m,-460
1496,500k+pa,-400
1497,6m,-460
1498,+,-3200
1499,2m,-291
1500,50-nm-separated,-340
1501,>,-2412
1502,>,-6606
1503,>,-1600
1504,text,-734
1505,10000,-291
1506,1000,-268
1507,1200,-734
1508,20000,-291
1509,2950,140
1510,30,-734
1511,3700,-734
1512,;,-734
1513,75k,-291
1514,890000,-291
